Programa estratégico,Sistema productivo,Área temática,Nombre del proyecto,Investigador líder,Rol CI Palmira,Institución ejecutora,Aliados estratégicos,Rol del aliado,Problema abordado,Objetivo del proyecto,Justificación estratégica,Política pública asociada,Metodología principal,Variables evaluadas,"Tipo de intervención (I+D+i, Canales OT, Fortalecimiento)",Resultados principales,Productos generados,Publicaciones,Oferta tecnológica,Tipo de tecnología,TRL inicial,TRL final,Estado tecnológico,Impacto técnico,Impacto económico,Impacto social,Impacto ambiental,Departamentos,Municipios,Tipo de beneficiarios,Beneficiarios directos,Beneficiarios indirectos,Área potenciales de adopción,Activos generados,Estado propiedad intelectual,Financiador,Monto del proyecto,Año inicio,Año final,Estado del proyecto,Capacidad_emergente,Capacidad_consolidada,Capacidad_distintiva
ACI: Adaptación y resiliencia de los sistemas productivos agropecuarios frente a condiciones de clima cambiante,Lima Acida Tahití,Manejo de suelos y aguas,"Validación y ajuste  de tecnología para el manejo de la nutricion, el riego y la poda en lima ácida Tahití en el Valle del Cauca.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Entes Nacionales y Territoriales,,,,,,,
Bioeconomía: Prácticas de agricultura sostenible,Lima Acida Tahití,Manejo sanitario y fitosanitario,"Desarrollo de los procesos de indexación de material de siembra frente a las principales enfermedades, para el aseguramiento de la sanidad de los cítricos en Colombia.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Entes Nacionales y Territoriales,,,,,,,
Inclusión social en el desarrollo tecnológico: Apropiación social del conocimiento desde la ciencia ciudadana y la ciencia comunitaria,Lima Acida Tahití,"Transf. de tecnologia, asist. técnica e innovación","Convenio derivado No. 3, Líneas Epidemiología y modelos para la mitigación de plagas, del convenio marco interadministrativo no. GGC- 017-2023,.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Entes Nacionales y Territoriales,,,,,,,
ACI: Adaptación y resiliencia de los sistemas productivos agropecuarios frente a condiciones de clima cambiante,Limón Pajarito,Manejo ambiental y sostenibilidad,Reducción del riesgo y adaptación al cambio climático_Modelos de adaptación agroclimática (MAPA). Limón pajárito (Citrus aurantifolia). Facilitadora Regional MAPA: Diana Lucia Correa Moreno,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Entes Nacionales y Territoriales,,,,,,,
Bioeconomía: Prácticas de agricultura sostenible,Lima Acida Tahití,Material de siembra y mejoramiento genético,Cultivares y patrones de cítricos adaptados a diferentes núcleos productivos en Colombia. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Entes Nacionales y Territoriales,,,,,,,
Bioeconomía:  Biodiversidad,Lima Acida Tahití,Material de siembra y mejoramiento genético,Evaluación participativa de cítricos promisorios para su uso como copas o patrones en los principales núcleos de producción.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sector privado,,,,,,,
Bioeconomía: Prácticas de agricultura sostenible,Lima Acida Tahití,Material de siembra y mejoramiento genético,"Fortalecer el programa nacional de conservación y multiplicación del material vegetal de cítricos en las categorías genética, básica y registrada como estrategia de prevención fitosanitaria al HLB para garantizar la continuidad del programa de certificación",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Entes Internacionales,,,,,,,
Bioeconomía: Prácticas de agricultura sostenible,Maracuya,Manejo sanitario y fitosanitario,Desarrollo de componentes de manejo integrado de Dasiops inedulis (Diptera: Lonchaeidae) en maracuyá en el Valle del Cauca.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Entes Nacionales y Territoriales,,,,,,,
"Seguridad alimentaria, nutricional y salud humana y animal",Maracuya,Manejo sanitario y fitosanitario,Evaluación y selección de genotipos élite maracuyá ,,,,Universidad Nacional,,,,,,,,,,,,,,,,,,,,,Valle del Cauca,,Asociación de productores,,,,,,Entes Nacionales y Territoriales,,,,,,,
ACI:Productividad agrícola agroambientalmente eficiente e integralmente sostenible,Maracuya,Material de siembra y mejoramiento genético,Evaluación y selección de genotipos élite maracuyá ,,,,Universidad Nacional,,,,,,,,,,,,,,,,,,,,,Valle del Cauca,,Asociación de productores,,,,,,Entes Nacionales y Territoriales,,,,,,,
ACI: Adaptación y resiliencia de los sistemas productivos agropecuarios frente a condiciones de clima cambiante,Melón,Manejo ambiental y sostenibilidad,Reducción del riesgo y adaptación al cambio climático_Modelos de adaptación agroclimática (MAPA). Melón (Cucumis melo B). Facilitadora Regional MAPA: Diana Lucia Correa Moreno,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Entes Nacionales y Territoriales,,,,,,,
ACI: Adaptación y resiliencia de los sistemas productivos agropecuarios frente a condiciones de clima cambiante,Mora,Manejo ambiental y sostenibilidad,Reducción del riesgo y adaptación al cambio climático_Modelos de adaptación agroclimática (MAPA). Mora (Rubus glaucus B). Facilitadora Regional MAPA: Diana Lucia Correa Moreno,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Entes Nacionales y Territoriales,,,,,,,
Bioeconomía: Prácticas de agricultura sostenible,Naranjas,Manejo sanitario y fitosanitario,"Validación de estrategias de manejo de poblaciones de Compsus viridivitattus, y ácaros como aporte del componente entomológico a la construcción del modelo productivo en cítricos.   ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Entes Nacionales y Territoriales,,,,,,,
Bioeconomía: Prácticas de agricultura sostenible,Naranjas,Manejo sanitario y fitosanitario,"Manejo de viveros y bases tecnológicas para la certificación genética, fisiológica y sanitaria",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Entes Nacionales y Territoriales,,,,,,,
Bioeconomía: Prácticas de agricultura sostenible,Naranjas,Manejo sanitario y fitosanitario,Evaluación de entomopatógenos y productos químicos para el control de Diaphorina citri Kuwayama (Hemiptera: Liviidae) y estudios biológicos de D. citri y su enemigo natural principal Tamarixia radiata (Waterston) (Hymenoptera: Eulophidae).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Entes Nacionales y Territoriales,,,,,,,
Bioeconomía: Prácticas de agricultura sostenible,Naranjas,Manejo sanitario y fitosanitario,Generación de esquemas de indexación a enfermedades sistémicas de cítricos para asegurar la sanidad del material de siembra en Colombia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Entes Nacionales y Territoriales,,,,,,,
Bioeconomía:  Biodiversidad,Naranjas,Material de siembra y mejoramiento genético,Cultivares y patrones de cítricos adaptados a diferentes núcleos productivos en Colombia Fase 1.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Entes Nacionales y Territoriales,,,,,,,
Bioeconomía:  Biodiversidad,Naranjas,Material de siembra y mejoramiento genético,Cultivares y patrones de cítricos adaptados a diferentes núcleos productivos en Colombia Fase 2.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Entes Nacionales y Territoriales,,,,,,,
Bioeconomía:  Biodiversidad,Naranjas,Material de siembra y mejoramiento genético,Cultivares y patrones de cítricos adaptados a diferentes núcleos productivos en Colombia Fase 3.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Entes Nacionales y Territoriales,,,,,,,
Bioeconomía:  Biodiversidad,Naranjas,Material de siembra y mejoramiento genético,Cultivares y patrones de cítricos adaptados a diferentes núcleos productivos en Colombia Fase 4.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Entes Nacionales y Territoriales,,,,,,,
Bioeconomía: Economía circular,Otro,Manejo ambiental y sostenibilidad,Proyecto Agroecologico Colombo Aleman (PACA),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Entes Nacionales y Territoriales,,,,,,,
NSA(MPIyS): Sistemas agroalimentarios globales,Otro,Material de siembra y mejoramiento genético,Plataforma regional para impulsar la competitividad del aguacate andino ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,,,,,,,
Bioeconomía:  Biodiversidad,Palma de aceite Africana,Material de siembra y mejoramiento genético,Selección de progenitores Dura y Pisífera de la palma de aceite (Elaeis guineensis) como apoyo a la producción de los cultivares híbridos OxG Corpoica y Ténera Corpoica de segunda generación,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Entes Nacionales y Territoriales,,,,,,,
Bioeconomía:  Biodiversidad,Palma de aceite Africana,Material de siembra y mejoramiento genético,Practicas de manejo agronómico y seguimiento experimentos palma de aceite. Fase I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Entes Nacionales y Territoriales,,,,,,,
Bioeconomía:  Biodiversidad,Palma de aceite Africana,Material de siembra y mejoramiento genético,Practicas de manejo agronómico y seguimiento experimentos palma de aceite. Fase II,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Entes Nacionales y Territoriales,,,,,,,
Bioeconomía:  Biodiversidad,Palma de aceite Africana,Material de siembra y mejoramiento genético,Practicas de manejo agronómico y seguimiento experimentos palma de aceite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Entes Nacionales y Territoriales,,,,,,,
Bioeconomía:  Biodiversidad,Palma de aceite Americana,Material de siembra y mejoramiento genético,Evaluación de progenies F2 de Elaeis Oleifera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Entes Nacionales y Territoriales,,,,,,,
Bioeconomía: Prácticas de agricultura sostenible,Palmaceas,Manejo sanitario y fitosanitario,Control biológico y químico de la cochinilla acanalada Crypticerya multicicatrices Kondo & Unruh (Hemiptera: Monophlebidae).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Entes Internacionales,,,,,,,
ACI:Productividad agrícola agroambientalmente eficiente e integralmente sostenible,Piña,Material de siembra y mejoramiento genético,Producción de semilla de calidad para Casanare,,,,"Bolívar: Asociación de Agricultores Campesinos Chitacorral (Agrocazan), La Vega: Asociación Productora  de  Quinua  Resguardo  de Pancitara (Asproquinpa), La Vega: Asociación Productora  de  Quinua  Resguardo  de Pancitara (Asproquinpa), Totoró: Asociación  de  Productores  de  Quinua (Asoquinua), Silvia: Cooperativa Multiactiva Indígena de Las Delicias",,,,,,,,,,,,,,,,,,,,,Cauca,"Bolívar, La Vega, Silvia, Totoró",Comunidad campesina,,,,,,Entes Nacionales y Territoriales,,,,,,,
ACI:Productividad agrícola agroambientalmente eficiente e integralmente sostenible,Piña,Fisiología vegetal y nutrición,"Estrategias de manejo agronómico para la piña MD2 para sistemas productivos del departamento del Valle del Cauca, potenciando parámetros de adaptación y sostenibilidad.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Entes Nacionales y Territoriales,,,,,,,
Bioeconomía: Prácticas de agricultura sostenible,Piña,Manejo sanitario y fitosanitario,Estrategias para el manejo integrado de las principales enfermedades y plagas que se presentan en el cultivo de piña (cultivar MD2) en los departamentos del Valle del Cauca y Santander. Fase I y Fase II.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Entes Nacionales y Territoriales,,,,,,,
Bioeconomía: Economía circular,Piña,Manejo ambiental y sostenibilidad,Identificación de accesiones de piña (Ananas spp.) por su potencial para la obtención de fibra de la hoja para uso agroindustrial.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Entes Nacionales y Territoriales,,,,,,,
Bioeconomía: Prácticas de agricultura sostenible,Pitaya Amarilla,Manejo sanitario y fitosanitario,Desarrollo de estrategias de manejo integrado de la mosca del botón floral de la pitaya Dasiops sp. en el Valle del Cauca.,,,,,,,,,,,,,,,,,,,,,,,,,Valle del Cauca,,,,,,,,Entes Nacionales y Territoriales,,,,,,,
Bioeconomía: Prácticas de agricultura sostenible,Pitaya Amarilla,Manejo de sistemas productivos,Recomendaciones de manejo agronómico y fitosanitario del cultivo de la Pitaya Amarilla para las regiones productoras de Colombia.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,,,,,,,
ACI:Productividad agrícola agroambientalmente eficiente e integralmente sostenible,Platano,Manejo de suelos y aguas,Propuesta enviada a convocatoria Fontagro2025. Transformación digital del cultivo de plátano: hacia la eficiencia productiva y el relevo generacional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACI:Productividad agrícola agroambientalmente eficiente e integralmente sostenible,Platano,Manejo de suelos y aguas,Transformación digital del cultivo de plátano: hacia la eficiencia productiva y el relevo generacional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Entes Internacionales,,,,,,,
"Seguridad alimentaria, nutricional y salud humana y animal",Platano,Manejo sanitario y fitosanitario,Sanidad Prevención y Control Enfermedades Plátano F1 y F2,,,,ICA,,,,,,,,,,,,,,,,,,,,,"Caldas, Risaralda, Cauca y Valle del Cauca",,Asociación de productores,,,,,,Entes Nacionales y Territoriales,,,,,,,
Bioeconomía: Prácticas de agricultura sostenible,Quinua,Fisiología vegetal y nutrición,Alternativas tecnológicas para el cultivo de la quinua en el departamento del Cauca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Entes Nacionales y Territoriales,,,,,,,
Bioeconomía: Prácticas de agricultura sostenible,Quinua,Fisiología vegetal y nutrición,Alternativas tecnológicas para el cultivo de la quinua en el departamento del Cauca,,,,,,,,,,,,,,,,,,,,,,,,,Valle del Cauca,,,,,,,,Entes Nacionales y Territoriales,,,,,,,
Bioeconomía: Prácticas de agricultura sostenible,Quinua,Fisiología vegetal y nutrición,Desarrollo de modelos de producción de semilla promisorias Quinua en  Cauca PNS,,,,,,,,,,,,,,,,,,,,,,,,,San Andres y Providencia.,,,,,,,,Entes Nacionales y Territoriales,,,,,,,
Bioeconomía: Prácticas de agricultura sostenible,Quinua,Manejo de suelos y aguas,Alternativas tecnológicas para el cultivo de la quinua en el departamento del Cauca,,,,"ICESI, Hugo Restrepo, Utedé",,,,,,,,,,,,,,,,,,,,,"Antioquia, Valle del Cauca y Cauca","Rionegro, Campamento, Palmira, Buga y Timbío",,,,,,,Entes Nacionales y Territoriales,,,,,,,
Bioeconomía: Prácticas de agricultura sostenible,Quinua,Manejo sanitario y fitosanitario,"Desarrollo   de   nuevas   recomendaciones   tecnológicas   para   contribuir   con   la   competitividad  y  la  sostenibilidad  del  sector  quinuero  del  departamento   del   Cauca, Convenio 1983, Actividad 8: Caracterizar los problemas de enfermedades del cultivo de quinua en el departamento del Cauca (Fase 1), Diana Milena Rodríguez Mora",,,,"Asociación de Agricultores Campesinos  de  la  Zanja  Chitacorral(Agrocazan),  Asociación  Productora  de  Quinua  Resguardo  de  Pancitará  (Asproquinpa), Asociación de Productores de Quinua (Asoquinua) y Cooperativa  Multiactiva  Indígena  de  Las Delicias",,,,,,,,,,,,,,,,,,,,,Cauca,"Bolívar, La Vega, Silvia, Totoró",Comunidad Indígena,792 personas,,,,,Entes Nacionales y Territoriales,,,,,,,
"ACI: Gestión eficiente de los recursos agua, nutrientes, suelo y energía para la mitigación de GEI en los sistemas de producción agrícola",Quinua,Manejo ambiental y sostenibilidad,Actividad 4.2: Utilización de coberturas vegetales y mitigación de gases de efecto invernadero GEI. RA: Diana Lucia Correa Moreno,,,,,,,,,,,,,,,,,,,,,,,,,Cauca,,,,,,,,Entes Nacionales y Territoriales,,,,,,,
Bioeconomía: Prácticas de agricultura sostenible,Yuca,Material de siembra y mejoramiento genético,Material de siembra con calidad de las Variedades de yuca AGROSAVIA Cumbre 3 y AGROSAVIA La Francesa,,,,Fedecoco,,,,,,,,,,,,,,,,,,,,,Nariño,"Tumaco, el Charco, Francisco Pizarro, La Tola, Mosquera, Santa Bárbara de Iscuande y Olaya Herrera",Comunidad Afrocolombiana,300,,,,,Entes Nacionales y Territoriales,,,,,,,
NSA(MPIyS): Sistemas alimentarios regenerativos,Otro,Manejo de sistemas productivos,Ruta Agroecológica_Valle del Cauca. RA: Diana Lucia Correa Moreno,,,,,,,,,,,,,,,,,,,,,,,,,Valle,,Asociación de productores,,,,,,Entes Nacionales y Territoriales,,,,,,,
NSA(MPIyS): Sistemas alimentarios regenerativos,Otro,Manejo de sistemas productivos,Mujer rural:conservación de semillas. Lider: Diana Lucia Correa Moreno,,,,,,,,,,,,,,,,,,,,,,,,,Valle,,Asociación de productores,,,,,,Sector privado,,,,,,,
NSA(MPIyS): Restauración de los ecosistemas,Otro,Manejo ambiental y sostenibilidad,"Restauración participativa de ecosistemas y fortalecimiento de la gobernanza ambiental y resiliencia climática en territorios afrocolombianos de la Cuenca del Rio San Jorge (Alto Patia - Cauca) afectados por deforestación, desertificación y sequía. Lider: Diana Lucia Correa Moreno",,,,,,,,,,,,,,,,,,,,,,,,,Cauca,,Comunidad Afrocolombiana,,,,,,Entes Nacionales y Territoriales,,,,,,,
ACI: Adaptación y resiliencia de los sistemas productivos agropecuarios frente a condiciones de clima cambiante,Otro,Manejo ambiental y sostenibilidad,Fortalecimiento de las capacidades de I+D+i del centro de investigación Palmira,,,,,,,,,,,,,,,,,,,,,,,,,Valle,,Comunidad Afrocolombiana,,,,,,Entes Nacionales y Territoriales,,,,,,,
Bioeconomía: Prácticas de agricultura sostenible,Aguacate Hass,Manejo sanitario y fitosanitario,Estrategias de prevención y manejo de enfermedades limitantes en la producción de Aguacate en las principales zonas productoras.,,,,"Viveristas y comercializadores de aguacate, ICA",,,,,,,,,,,,,,,,,,,,,"Cauca, Quindío, Risaralda, Valle del Cauca","Cauca (Timbío), Quindío (Calarcá, La Tebaida, Quimbaya), Risaralda (Cerritos, Pereira), Valle del Cauca (Andalucía, Bolívar, Caicedonia, Candelaria, Cerrito, La Unión, La Victoria, Palmira, Sevilla)",Comunidad campesina,,,,,,Entes Nacionales y Territoriales,,,,,,,
Bioeconomía: Prácticas de agricultura sostenible,Pitaya Amarilla,Manejo sanitario y fitosanitario,Opciones de manejo para reducir los principales problemas del cultivo de la Pitaya en el Valle del Cauca,,,,Asoppitaya: Asociación de productores de pitaya- Ingenieros Agrónomos Asociados,,,,,,,,,,,,,,,,,,,,,Valle del Cauca,Municipios de Palmira-Darien-Riofrio,Asociación de productores,,,,,,Entes Nacionales y Territoriales,,,,,,,
Bioeconomía: Prácticas de agricultura sostenible,Cacao,Manejo de sistemas productivos,"Idea: Proyecto 95883. IMPLEMENTACIÓN DE INNOVACIONES TECNOLÓGICAS BAJO UN MODELO DE ECONOMÍA CIRCULAR, SOCIAL Y SOLIDARIA COMO APORTE A LA SEGURIDAD ALIMENTARIA Y A LA TRANSICIÓN SOSTENIBLE HACIA UN DESARROLLO AGRÍCOLA Y AGROINDUSTRIAL EN 4 MUNICIPIOS DEL DEPARTAMENTO DEL VALLE DEL CAUCA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Entes Nacionales y Territoriales,,,,,,,
